"x","y","pwprob"
"G_12","G_48",0.377
"G_12","G_49",0.141375
"G_12","G_50",0.13675
"G_12","G_51",0.134375
"G_12","G_52",0.1245
"G_12","G_54",0.24375
"G_12","G_56",0.272375
"G_12","G_57",0.69975
"G_12","G_59",0.599625
"G_12","G_60",0.5455
"G_12","G_61",0.887125
"G_12","G_62",0.361
"G_12","G_63",0.165875
"G_12","G_64",0.172875
"G_12","G_65",0.3425
"G_12","G_66",0.530125
"G_12","G_67",0.69125
"G_12","G_68",0.117
"G_12","G_69",0.3695
"G_12","G_70",0.150375
"G_12","G_71",0.20325
"G_12","G_72",0.222625
"G_12","G_73",0.167125
"G_12","G_74",0.806
"G_12","G_75",0.4485
"G_12","G_77",0.608
"G_12","G_78",0.539
"G_12","G_82",0.704625
"G_12","G_83",0.879875
"G_12","G_84",0.443125
"G_12","G_85",0.703625
"G_12","G_86",0.91025
"G_12","G_87",0.90225
"G_12","G_88",0.577875
"G_12","G_89",0.15225
"G_12","G_90",0.449625
"G_12","G_91",0.24775
"G_12","G_92",0.706
"G_12","G_93",0.10275
"G_12","G_97",0.895375
"G_12","G_98",0.166875
"G_13","G_14",0.9165
"G_13","G_15",0.920625
"G_13","G_16",0.9145
"G_13","G_17",0.742375
"G_13","G_18",0.919
"G_13","G_19",0.925
"G_13","G_20",0.643875
"G_13","G_21",0.81375
"G_13","G_22",0.935375
"G_13","G_23",0.925875
"G_13","G_24",0.922625
"G_13","G_25",0.8185
"G_13","G_26",0.908125
"G_13","G_27",0.907125
"G_13","G_28",0.7995
"G_13","G_29",0.890875
"G_13","G_30",0.8795
"G_13","G_31",0.855625
"G_13","G_32",0.338375
"G_13","G_34",0.8165
"G_13","G_35",0.88275
"G_13","G_36",0.73925
"G_13","G_37",0.909375
"G_13","G_38",0.569
"G_13","G_39",0.902125
"G_13","G_40",0.67225
"G_13","G_41",0.816625
"G_13","G_42",0.261
"G_13","G_43",0.823
"G_13","G_44",0.6985
"G_13","G_45",0.443125
"G_13","G_46",0.7665
"G_13","G_47",0.860875
"G_13","G_48",0.9195
"G_13","G_49",0.895125
"G_13","G_50",0.37625
"G_13","G_51",0.86975
"G_13","G_52",0.869875
"G_13","G_54",0.889125
"G_13","G_56",0.90825
"G_13","G_57",0.9315
"G_13","G_59",0.913375
"G_13","G_60",0.899875
"G_13","G_61",0.92575
"G_13","G_62",0.9175
"G_13","G_63",0.918375
"G_13","G_64",0.886375
"G_13","G_65",0.931875
"G_13","G_66",0.945
"G_13","G_67",0.926125
"G_13","G_68",0.87
"G_13","G_69",0.91875
"G_13","G_70",0.91425
"G_13","G_71",0.89375
"G_13","G_72",0.893625
"G_13","G_73",0.837
"G_13","G_74",0.912
"G_13","G_75",0.909625
"G_13","G_77",0.9105
"G_13","G_78",0.865375
"G_13","G_82",0.91875
"G_13","G_83",0.905125
"G_13","G_84",0.877375
"G_13","G_85",0.92575
"G_13","G_86",0.93175
"G_13","G_87",0.920125
"G_13","G_88",0.936
"G_13","G_89",0.8575
"G_13","G_90",0.894625
"G_13","G_91",0.89425
"G_13","G_92",0.942
"G_13","G_93",0.416
"G_13","G_97",0.933
"G_13","G_98",0.893875
"G_14","G_15",0.872875
"G_14","G_16",0.70775
"G_14","G_17",0.29525
"G_14","G_18",0.84275
"G_14","G_19",0.768
"G_14","G_20",0.16725
"G_14","G_21",0.3635
"G_14","G_22",0.884375
"G_14","G_23",0.876625
"G_14","G_24",0.866375
"G_14","G_25",0.251125
"G_14","G_26",0.73175
"G_14","G_27",0.76525
"G_14","G_28",0.26625
"G_14","G_29",0.545875
"G_14","G_30",0.714875
"G_14","G_31",0.5255
"G_14","G_32",0.0635
"G_14","G_34",0.355
"G_14","G_35",0.703625
"G_14","G_36",0.336875
"G_14","G_37",0.849375
"G_14","G_38",0.154
"G_14","G_39",0.68075
"G_14","G_40",0.20025
"G_14","G_41",0.46625
"G_14","G_42",0.075375
"G_14","G_43",0.225875
"G_14","G_44",0.17675
"G_14","G_45",0.114875
"G_14","G_46",0.172
"G_14","G_47",0.373125
"G_14","G_48",0.82575
