"x","y","pwprob"
"G_69","G_76",0.494875
"G_69","G_79",0.803625
"G_69","G_80",0.458875
"G_69","G_81",0.677625
"G_69","G_94",0.350125
"G_69","G_95",0.737125
"G_69","G_96",0.7625
"G_76","G_79",0.749625
"G_76","G_80",0.473125
"G_76","G_81",0.6345
"G_76","G_94",0.3885
"G_76","G_95",0.695
"G_76","G_96",0.70925
"G_79","G_80",0.21175
"G_79","G_81",0.330875
"G_79","G_94",0.19275
"G_79","G_95",0.40675
"G_79","G_96",0.457625
"G_80","G_81",0.65925
"G_80","G_94",0.41275
"G_80","G_95",0.716
"G_80","G_96",0.74075
"G_81","G_94",0.278125
"G_81","G_95",0.562
"G_81","G_96",0.62575
"G_94","G_95",0.772
"G_94","G_96",0.795375
"G_95","G_96",0.5465
