"gen","g","HPD95","HPD97.5","HPD5","HPD7.5"
"G_88",-313.906950658234,108.019101201985,197.032420575516,-729.711792096078,-798.839290677798
"G_89",138.190249245671,550.813721014237,632.474799095253,-270.573402480037,-355.528868010873
"G_90",-254.193702459835,156.518110508073,233.985170206828,-660.384515542595,-739.310306185785
"G_91",-29.022991623351,360.989626595563,435.070670916417,-430.437411194137,-518.962024829017
"G_92",206.166333874855,620.316681791057,703.113687953384,-217.507826640353,-296.138370527751
"G_93",660.710070866837,1110.49187659063,1196.63801845474,181.105497593002,85.3421826750502
"G_94",107.258711664617,478.033351965331,549.518764582498,-278.626860751641,-371.404203677245
"G_95",-515.768979365997,-119.278998513377,-33.9525613339533,-875.149540227338,-948.572484119608
"G_96",-513.003985068111,-99.9260475318955,-11.5783635255197,-872.058017645664,-933.993658622704
"G_97",-576.331010297807,-127.075918859367,-32.8166216254339,-1015.56440941784,-1085.33524126939
"G_98",-67.9004744847534,140.639342953091,189.896928524623,-272.867050055786,-323.080058557837
