"","G_1","G_2","G_3","G_4","G_5","G_6","G_7","G_8","G_9","G_10","G_11","G_12","G_13","G_14","G_15","G_16","G_17","G_18","G_19","G_20","G_21","G_22","G_23","G_24","G_25","G_26","G_27","G_28","G_29","G_30","G_31","G_32","G_33","G_34","G_35","G_36","G_37","G_38","G_39","G_40","G_41","G_42","G_43","G_44","G_45","G_46","G_47","G_48","G_49","G_50","G_51","G_52","G_53","G_54","G_56","G_57","G_58","G_59","G_60","G_61","G_62","G_63","G_64","G_65","G_66","G_67","G_68","G_69","G_70","G_71","G_72","G_73","G_74","G_75","G_76","G_77","G_78","G_79","G_80","G_81","G_82","G_83","G_84","G_85","G_86","G_87","G_88","G_89","G_90","G_91","G_92","G_93","G_94","G_95","G_96","G_97","G_98"
"G_21",NA,NA,0.321625,0.256125,0.303375,NA,0.2895,0.233625,0.297875,NA,NA,0.426375,0.317625,NA,0.153875,0.22475,NA,0.490375,NA,0.388125,0,NA,NA,NA,0.362625,0.4705,0.54,0.26525,0.291125,NA,0.406625,0.304125,NA,0.426625,0.333375,NA,NA,0.485,0.4765,0.318125,0.36525,NA,0.3,0.33975,0.495,0.347,0.2815,NA,NA,NA,0.2455,0.400625,NA,0.326875,0.541875,0.314625,NA,NA,NA,NA,0.278875,NA,NA,0.262,0.412125,0.25175,0.2325,0.3625,0.2915,NA,NA,0.375875,NA,0.289875,NA,NA,NA,NA,NA,NA,0.409,NA,NA,0.47875,0.48975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39625
"G_22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G_23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G_24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G_25",NA,NA,0.42775,0.318875,0.377875,NA,0.351375,0.2795,0.382,NA,NA,0.541625,0.416875,NA,0.18875,0.26825,NA,0.626875,NA,0.525,0.637375,NA,NA,NA,0,0.600125,0.700375,0.327875,0.369625,NA,0.526875,0.3975,NA,0.534,0.41225,NA,NA,0.60825,0.61775,0.395125,0.49075,NA,0.382375,0.4625,0.642,0.446,0.3465,NA,NA,NA,0.305625,0.533875,NA,0.4075,0.688625,0.4005,NA,NA,NA,NA,0.355625,NA,NA,0.322625,0.527625,0.308125,0.275375,0.498375,0.378625,NA,NA,0.463375,NA,0.365125,NA,NA,NA,NA,NA,NA,0.50975,NA,NA,0.617,0.61525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5605
"G_26",NA,NA,0.364125,0.29225,0.33225,NA,0.31125,0.260125,0.33925,NA,NA,0.459375,0.35875,NA,0.153125,0.244875,NA,0.525625,NA,0.426125,0.5295,NA,NA,NA,0.399875,0,0.57675,0.29825,0.32375,NA,0.44,0.3395,NA,0.458625,0.353125,NA,NA,0.504375,0.522,0.342,0.39775,NA,0.32475,0.381875,0.532625,0.3835,0.315875,NA,NA,NA,0.268625,0.43675,NA,0.34925,0.575625,0.337125,NA,NA,NA,NA,0.31225,NA,NA,0.2885,0.44575,0.2645,0.2555,0.400125,0.324625,NA,NA,0.396125,NA,0.32075,NA,NA,NA,NA,NA,NA,0.436,NA,NA,0.51625,0.50925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43975
"G_27",NA,NA,0.264,0.226875,0.2595,NA,0.25225,0.191375,0.25275,NA,NA,0.3865,0.26825,NA,0.147625,0.18975,NA,0.4475,NA,0.339625,0.46,NA,NA,NA,0.299625,0.42325,0,0.211125,0.23,NA,0.37275,0.253125,NA,0.386875,0.296125,NA,NA,0.4345,0.441,0.289875,0.31425,NA,0.254125,0.284375,0.454125,0.287125,0.22525,NA,NA,NA,0.20225,0.351375,NA,0.301125,0.49925,0.2735,NA,NA,NA,NA,0.232625,NA,NA,0.219625,0.378375,0.232875,0.1905,0.30025,0.241875,NA,NA,0.32925,NA,0.255875,NA,NA,NA,NA,NA,NA,0.36275,NA,NA,0.439625,0.4455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.341875
"G_28",NA,NA,0.59775,0.426625,0.5015,NA,0.451375,0.4095,0.50875,NA,NA,0.6605,0.587625,NA,0.197125,0.37675,NA,0.7355,NA,0.660875,0.73475,NA,NA,NA,0.672125,0.70175,0.788875,0,0.555375,NA,0.62325,0.560625,NA,0.64275,0.499,NA,NA,0.712,0.71675,0.486375,0.6405,NA,0.523125,0.63075,0.738,0.608125,0.531875,NA,NA,NA,0.401875,0.670375,NA,0.489125,0.782875,0.538875,NA,NA,NA,NA,0.506375,NA,NA,0.48175,0.6225,0.366625,0.406,0.662875,0.524375,NA,NA,0.562375,NA,0.50275,NA,NA,NA,NA,NA,NA,0.61925,NA,NA,0.711625,0.71975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.707125
"G_29",NA,NA,0.54275,0.387375,0.460625,NA,0.41225,0.362,0.462125,NA,NA,0.626375,0.540875,NA,0.2,0.333875,NA,0.70825,NA,0.62375,0.708875,NA,NA,NA,0.630375,0.67625,0.77,0.444625,0,NA,0.597625,0.520125,NA,0.614125,0.46925,NA,NA,0.680125,0.684625,0.45025,0.6015,NA,0.48075,0.5865,0.70625,0.565,0.482,NA,NA,NA,0.363625,0.637875,NA,0.464,0.765875,0.4935,NA,NA,NA,NA,0.459125,NA,NA,0.42975,0.595,0.346875,0.367125,0.618375,0.4755,NA,NA,0.534625,NA,0.458,NA,NA,NA,NA,NA,NA,0.58375,NA,NA,0.687,0.697125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.671
"G_30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
