"gen","g","HPD95","HPD97.5","HPD5","HPD7.5"
"G_36",334.910403077781,897.16217911763,997.348868873175,-15.4917531271398,-70.0455259642708
"G_37",-174.537751737023,72.8132922285158,135.471123401765,-648.9438141743,-719.570334854512
"G_38",602.308083359607,1038.15011481014,1115.10575480144,-3.81415204780578,-6.94583898953918
"G_39",44.3967693124145,467.965035408992,541.730877053621,-200.735512720179,-270.921590344096
"G_40",493.283827220052,878.259350512341,948.519980224651,-2.15495745056243,-4.01347937541904
"G_41",233.248932934456,456.279531909708,491.350638395516,-1.58178303171601,-3.98135942634439
"G_42",833.604602033412,1283.58653303743,1365.32118495711,-1.09228323064285,-2.73660824798428
"G_43",449.830632089453,702.725099472503,746.906166567454,-3.66422862830214,-7.00503861448702
"G_44",532.221514792548,844.227879016364,900.461485881247,-2.56803859966112,-4.46829905210259
"G_45",698.369517108398,1007.02930886397,1059.43428108194,-4.97469672485996,-23.5475783749355
"G_46",482.22421023675,698.594039879969,735.360689031422,-0.494304403586161,-1.91593231224412
"G_47",324.926447110279,530.179854304899,565.960518511066,-1.62069925108093,-3.56603466487681
"G_48",-112.119736674073,80.9536957261224,133.032044628685,-470.203292291695,-524.605659285556
"G_49",181.948043265147,538.120529792874,595.494078192494,-35.4295092116497,-71.1668028193879
"G_50",770.381115843291,1346.09614815447,1441.15740521419,-8.25679197800986,-26.4275013979834
"G_51",290.030897423029,631.142652605887,685.060426625464,-4.44392773114873,-20.8479070412975
"G_52",246.547705772822,491.073690407371,530.577598519944,-3.52569871840884,-6.4430385345901
"G_53",589.890270653835,1093.10899657252,1181.00910427239,-27.2537374187547,-44.4364423894538
"G_54",-87.3847428624458,75.4031447415697,106.216337925839,-369.037797282005,-421.958069443305
"G_56",-125.720408922087,37.0774154992615,66.2419661543011,-366.65531296473,-405.699504213976
"G_57",-323.769185430556,1.17467387816205,3.61106393777208,-558.027533524174,-598.198273698773
"G_58",-4.07138420008689,319.491184483082,414.075560634324,-516.544819985117,-602.239140174633
"G_59",-281.626116245553,12.561560784536,47.2511454773242,-724.84129468556,-793.550467342837
"G_60",-204.083891516473,132.853990415823,240.873768195269,-772.39420745198,-872.414748767109
"G_61",-787.887708089087,2.20304473031623,4.54936781497721,-1374.52192152505,-1465.67019244862
"G_62",-171.75514930228,4.35434843389245,9.81575117567131,-420.995251445961,-467.724766626005
"G_63",184.93242313359,538.202059255662,599.094380485654,-29.1938440470926,-67.3859713905396
"G_64",31.0673027980091,375.573947393718,435.002267295752,-188.483484556878,-250.863362650021
"G_65",-146.285870681579,11.4340134772365,28.1795488676362,-402.731596054241,-453.354199703004
"G_66",-184.77874149869,27.1120371230741,106.246532883655,-571.097595048261,-641.999674666797
"G_67",-312.570626581135,1.53935587254723,3.1797224052406,-635.268823348078,-693.536372640429
"G_68",110.427028170225,329.73663450485,366.908590071739,-21.7973494235148,-56.9071086461836
"G_69",-169.949905437546,4.31021182021934,11.6236563229008,-376.7693660599,-412.083746675759
"G_70",7.12114984127364,222.254309886057,263.756115665132,-139.566602677528,-183.281729930436
"G_71",2.01315790444552,399.699669730596,472.210161303237,-310.210478459153,-377.934321203722
"G_72",-3.05930236421763,227.94251338364,295.633061738656,-354.984458688598,-425.959344330739
"G_73",395.817460734862,782.930263379322,853.932249949569,-9.08362057530621,-19.7853844271886
"G_74",-569.468010922599,3.96225942187324,6.75533533365814,-1123.82331648812,-1232.81079478414
"G_75",-209.010231030968,4.44045846740118,6.83845455324747,-433.926268380891,-474.167876217077
"G_76",-100.275170539545,194.123949814316,275.092882094133,-644.782348128299,-729.320949135348
"G_77",-254.06314088059,67.9457561861997,171.715021060642,-819.846077039866,-927.228580780305
"G_78",-244.288009102587,75.7075397869049,170.721846473525,-790.463241356586,-867.517638823968
"G_79",-519.72320781652,4.14000876033438,7.14782223373127,-1054.84565525932,-1155.25210137666
"G_80",-77.3193147362508,211.271484721393,307.78276383042,-605.243852264115,-688.527001333598
"G_81",-326.539073904168,14.6617049053621,48.5337349166454,-847.745065956873,-932.909437621518
"G_82",-388.485430411096,3.93866300427683,7.28451842197275,-832.490878429333,-905.640159089517
"G_83",-1313.22311264718,5.75751453586476,15.2733118433054,-1898.74638893482,-2003.75994412583
"G_84",-130.611044469424,184.556873954659,278.629348587629,-697.255664472766,-797.384299002231
"G_85",-360.466734073055,3.72599328087891,12.1133766750946,-796.13552891121,-879.104367163009
"G_86",-663.265921849424,1.70828052310209,3.42419745176233,-1108.09169918068,-1189.7926837495
"G_87",-1451.94357575912,1.77334737648968,3.51089699431956,-1905.48539543811,-1979.59822591804
"G_88",-208.136716331392,120.290296226628,221.392000007477,-759.257781206427,-863.143974389474
"G_89",127.791967502993,708.348192724236,803.53033238152,-192.770474222687,-287.590897610592
"G_90",-116.008049335951,197.815769016145,296.364250285085,-680.416610858383,-793.263957881397
"G_91",0.938851159019739,463.28986362813,566.861971112887,-404.595500564808,-505.704276583081
"G_92",-342.134179760359,10.9570590935029,93.6932093408629,-919.169145417784,-1004.99211134006
"G_93",676.813952432001,1250.61492557262,1336.31015379323,-2.53610649063377,-6.99906828950465
"G_94",-9.70360431150284,340.226103790087,419.070767727626,-481.864499045153,-571.707797424876
"G_95",-376.223868145579,4.53562908612983,20.8120697093113,-900.370654961832,-988.510402965059
"G_96",-405.809496102255,4.61198530862657,13.2779925878988,-971.298324513169,-1073.08489099629
"G_97",-1192.25809783588,8.74467233726359,19.0524107672122,-1787.79039070135,-1897.44364141617
"G_98",-1.94188020362354,152.769344080827,185.189664122153,-184.284396622221,-224.753925697311
